customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-AAA,Female,0,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,107.29,4618.97,Yes
1860-BDH,Female,0,No,No,39,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,69.58,2721.39,Yes
6390-CGO,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),109.36,1969.22,Yes
6191-DJV,Female,0,No,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.04,7007.85,No
6734-EMC,Female,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.37,482.45,No
7265-FPJ,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,106.18,5209.76,No
1466-GSQ,Female,0,No,Yes,19,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,81.92,1564.79,No
5426-HVX,Female,0,No,No,56,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,65.81,3689.73,No
6578-IYE,Male,0,Yes,No,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.4,1141.43,No
9322-JBL,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),117.89,6714.59,No
2685-KES,Male,0,No,No,30,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,63.37,1909.02,Yes
1769-LHZ,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),71.56,2567.19,Yes
7949-MKG,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,91.77,266.97,Yes
3433-NNN,Male,0,No,No,57,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),104.89,5981.0,No
6311-OQU,Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,88.91,800.26,Yes
6051-PTB,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),76.22,4716.33,Yes
7420-QWI,Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.25,856.56,No
2184-RZP,Female,0,No,No,54,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),73.16,3946.88,No
5555-SCW,Male,0,Yes,Yes,56,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,84.79,4743.55,No
4385-TFD,Female,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),105.43,4435.82,No
7396-UIK,Male,0,No,No,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),111.2,7119.41,No
9666-VLR,Female,1,No,No,11,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.23,913.56,No
3558-WOY,Female,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.65,1136.02,No
8849-XRF,Male,0,Yes,No,23,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),79.13,1819.99,Yes
3047-YUM,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.0,18.39,Yes
3747-ZXT,Female,0,No,No,46,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),80.02,3672.5,Yes
1189-AAA,Female,1,No,No,55,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,107.69,5931.75,No
3734-BDH,Male,0,Yes,Yes,15,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,92.71,1384.25,No
4005-CGO,Male,0,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.74,774.92,Yes
5658-DJV,Female,0,No,No,17,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,60.48,1019.75,No
2899-EMC,Male,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.17,651.28,Yes
8734-FPJ,Male,1,Yes,Yes,53,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,52.12,2769.97,No
2267-GSQ,Male,1,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.73,940.05,No
2528-HVX,Male,0,No,No,13,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,102.45,1328.89,No
4556-IYE,Female,0,No,Yes,57,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),60.95,3474.81,No
4890-JBL,Male,0,Yes,No,34,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),53.05,1798.99,No
9838-KES,Female,0,Yes,Yes,8,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.65,397.35,Yes
6393-LHZ,Female,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.15,861.21,Yes
9792-MKG,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.6,230.36,Yes
9433-NNN,Male,1,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,110.31,1101.54,No
8513-OQU,Female,0,Yes,No,26,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),51.1,1331.16,No
3612-PTB,Female,0,Yes,No,42,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,62.89,2644.87,No
8041-QWI,Male,0,Yes,No,49,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,61.92,3043.23,Yes
7235-RZP,Female,1,Yes,Yes,19,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),53.45,1012.69,No
6486-SCW,Female,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.58,228.93,No
8099-TFD,Female,0,No,No,46,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,64.3,2950.38,Yes
